City,Country,State,Latitude ,Longitude 
Suffolk,United States,Virginia,36.7282,-76.5836
Stockton,United States,California,37.9577,-121.2908
Sterling Heights,United States,Michigan,42.5803,-83.0302
Springfield,United States,Virginia,38.7891,-77.187
Springfield,United States,Oregon,44.0462,-123.022
Springfield,United States,Ohio,39.9242,-83.8088
Springfield,United States,Missouri,37.2153,-93.2983
Springdale,United States,Arkansas,36.1867,-94.1288
Spokane,United States,Washington,47.6589,-117.4247
Sparks,United States,Nevada,39.5348,-119.7528
Southaven,United States,Mississippi,34.989,-90.0126
South Bend,United States,Indiana,41.6834,-86.25
Smyrna,United States,Tennessee,35.9828,-86.5186
Smyrna,United States,Georgia,33.884,-84.5147
Skokie,United States,Illinois,42.0334,-87.7334
Sioux Falls,United States,South Dakota,43.55,-96.7003
Sierra Vista,United States,Arizona,31.5545,-110.3037
Shelton,United States,Connecticut,41.3165,-73.0932
Sheboygan,United States,Wisconsin,43.7508,-87.7145
Seattle,United States,Washington,47.6038,-122.3301
Scottsdale,United States,Arizona,33.5091,-111.8992
Santa Maria,United States,California,34.9531,-120.4359
Santa Fe,United States,New Mexico,35.687,-105.9378
Santa Clara,United States,California,37.3541,-121.9552
Santa Barbara,United States,California,34.4098,-119.697
Santa Ana,United States,California,33.7495,-117.8732
Sanford,United States,Florida,28.8117,-81.268
Sandy Springs,United States,Georgia,33.9868,-84.3481
San Mateo,United States,California,37.5446,-122.3091
San Marcos,United States,Texas,29.8826,-97.9406
San Luis Obispo,United States,California,35.2828,-120.6596
San Jose,United States,California,37.2751,-121.8261
San Gabriel,United States,California,34.0991,-118.1086
San Francisco,United States,California,37.7648,-122.463
San Diego,United States,California,32.7174,-117.1628
San Clemente,United States,California,33.427,-117.6124
San Bernardino,United States,California,34.1083,-117.2898
San Antonio,United States,Texas,29.4246,-98.4951
San Angelo,United States,Texas,31.4648,-100.4398
Salt Lake City,United States,Utah,40.767,-111.8904
Salinas,United States,California,36.6777,-121.656
Salem,United States,Virginia,37.2934,-80.0547
Salem,United States,Oregon,44.9392,-123.0331
Saint Petersburg,United States,Florida,27.77,-82.65
Saint Peters,United States,Missouri,38.8,-90.62
Saint Paul,United States,Minnesota,44.9504,-93.1015
Saint Louis,United States,Missouri,38.63,-90.19
Saint Cloud,United States,Minnesota,45.5616,-94.1642
Saint Charles,United States,Missouri,38.79,-90.5
Saint Charles,United States,Illinois,41.9142,-88.3087
Saginaw,United States,Michigan,43.42,-83.949
Sacramento,United States,California,38.4732,-121.2981
Royal Oak,United States,Michigan,42.4895,-83.1446
Round Rock,United States,Texas,30.5082,-97.6789
Roswell,United States,Georgia,34.0233,-84.36
Roseville,United States,Minnesota,45.0061,-93.1566
Roseville,United States,Michigan,42.4973,-82.9371
Roseville,United States,California,38.7521,-121.288
Romeoville,United States,Illinois,41.6475,-88.0895
Rome,United States,New York,43.2128,-75.4557
Rogers,United States,Arkansas,36.332,-94.1185
Rockville,United States,Maryland,39.084,-77.1528
Rockford,United States,Illinois,42.2714,-89.094
Rock Hill,United States,South Carolina,34.9249,-81.0251
Rochester Hills,United States,Michigan,42.6584,-83.1499
Rochester,United States,New York,43.1573,-77.6152
Rochester,United States,Minnesota,44.0233,-92.463
Riverside,United States,California,33.9534,-117.3962
Rio Rancho,United States,New Mexico,35.2334,-106.6645
Richmond,United States,Virginia,37.5385,-77.4343
Richmond,United States,Kentucky,37.7479,-84.2947
Richmond,United States,Indiana,39.8287,-84.8899
Richardson,United States,Texas,32.9482,-96.7297
Revere,United States,Massachusetts,42.4084,-71.012
Renton,United States,Washington,47.4799,-122.2034
Reno,United States,Nevada,39.5293,-119.8137
Redwood City,United States,California,37.4852,-122.2364
Redondo Beach,United States,California,33.8456,-118.3887
Redmond,United States,Washington,47.6694,-122.1239
Redmond,United States,Oregon,44.2726,-121.1739
Redlands,United States,California,34.0557,-117.1889
Redding,United States,California,40.5864,-122.3917
Reading,United States,Pennsylvania,40.3353,-75.9279
Rapid City,United States,South Dakota,44.0812,-103.228
Rancho Cucamonga,United States,California,34.1033,-117.5752
Raleigh,United States,North Carolina,35.7804,-78.6391
Quincy,United States,Massachusetts,42.2529,-71.0023
Quincy,United States,Illinois,39.9356,-91.4099
Pueblo,United States,Colorado,38.2544,-104.6091
Provo,United States,Utah,40.2338,-111.6585
Providence,United States,Rhode Island,41.824,-71.4128
Portland,United States,Oregon,45.5202,-122.6742
Portage,United States,Indiana,41.5759,-87.1761
Port Saint Lucie,United States,Florida,27.2939,-80.3503
Port Orange,United States,Florida,29.1383,-80.9956
Port Arthur,United States,Texas,29.8988,-93.9288
Pompano Beach,United States,Florida,26.2379,-80.1248
Pomona,United States,California,34.0554,-117.7517
Pocatello,United States,Idaho,42.8689,-112.4401
Pleasant Grove,United States,Utah,40.3641,-111.7385
Plantation,United States,Florida,26.1172,-80.2538
Plano,United States,Texas,33.0137,-96.6925
Plainfield,United States,New Jersey,40.6337,-74.4074
Pine Bluff,United States,Arkansas,34.2284,-92.0032
Pico Rivera,United States,California,33.9831,-118.0967
Phoenix,United States,Arizona,33.4486,-112.0773
Philadelphia,United States,Pennsylvania,40.0115,-75.1327
Pharr,United States,Texas,26.1948,-98.1836
Perth Amboy,United States,New Jersey,40.5068,-74.2654
Peoria,United States,Illinois,40.6939,-89.5891
Peoria,United States,Arizona,33.5766,-112.2398
Pensacola,United States,Florida,30.4213,-87.2169
Pembroke Pines,United States,Florida,26.01,-80.34
Pearland,United States,Texas,29.564,-95.2864
Paterson,United States,New Jersey,40.9168,-74.1718
Passaic,United States,New Jersey,40.8568,-74.1285
Pasco,United States,Washington,46.2396,-119.1006
Pasadena,United States,Texas,29.6911,-95.2091
Pasadena,United States,California,34.1476,-118.1445
Parma,United States,Ohio,41.3822,-81.7356
Parker,United States,Colorado,39.5185,-104.7613
Park Ridge,United States,Illinois,42.0111,-87.8406
Palm Coast,United States,Florida,29.5541,-81.2208
Palatine,United States,Illinois,42.1103,-88.0342
Oxnard,United States,California,34.1975,-119.1771
Owensboro,United States,Kentucky,37.7742,-87.1133
Overland Park,United States,Kansas,38.9822,-94.6708
Oswego,United States,Illinois,41.6828,-88.3515
Ormond Beach,United States,Florida,29.2858,-81.0559
Orlando,United States,Florida,28.5421,-81.379
Orland Park,United States,Illinois,41.6303,-87.8539
Orem,United States,Utah,40.2975,-111.6945
Orange,United States,New Jersey,40.77,-74.23
Ontario,United States,California,34.0658,-117.6484
Omaha,United States,Nebraska,41.2587,-95.9379
Olympia,United States,Washington,47.045,-122.8949
Olathe,United States,Kansas,38.8844,-94.8161
Oklahoma City,United States,Oklahoma,35.473,-97.5171
Odessa,United States,Texas,31.8457,-102.3677
Oceanside,United States,New York,40.6387,-73.6401
Oceanside,United States,California,33.1959,-117.3795
Oakland,United States,California,37.8045,-122.2714
Oak Park,United States,Michigan,42.4595,-83.1827
Oak Park,United States,Illinois,41.885,-87.7845
Norwich,United States,Connecticut,41.5243,-72.0759
North Miami,United States,Florida,25.8901,-80.1867
North Las Vegas,United States,Nevada,36.2008,-115.1121
North Charleston,United States,South Carolina,32.8546,-79.9748
Norman,United States,Oklahoma,35.2226,-97.4395
Normal,United States,Illinois,40.5118,-88.9945
Norfolk,United States,Nebraska,42.0283,-97.417
Noblesville,United States,Indiana,40.0456,-86.0086
Niagara Falls,United States,New York,43.1031,-79.0303
Newport News,United States,Virginia,37.0168,-76.4505
Newark,United States,Ohio,40.0581,-82.4013
Newark,United States,Delaware,39.6852,-75.7508
New York City,United States,New York,40.7648,-73.9808
New Rochelle,United States,New York,40.9115,-73.7826
New Castle,United States,Indiana,39.9289,-85.3702
New Brunswick,United States,New Jersey,40.4862,-74.4518
New Bedford,United States,Massachusetts,41.6362,-70.9342
New Albany,United States,Indiana,38.2856,-85.8241
Nashville,United States,Tennessee,36.1622,-86.7744
Nashua,United States,New Hampshire,42.7654,-71.4676
Naperville,United States,Illinois,41.7729,-88.1479
Muskogee,United States,Oklahoma,35.663,-95.3928
Murrieta,United States,California,33.5608,-117.2107
Murray,United States,Utah,40.6668,-111.8884
Murray,United States,Kentucky,36.6103,-88.3148
Murfreesboro,United States,Tennessee,35.846,-86.392
Mount Vernon,United States,New York,40.9126,-73.8371
Mount Pleasant,United States,South Carolina,32.7941,-79.8626
Mount Pleasant,United States,Michigan,43.5976,-84.7668
Morristown,United States,New Jersey,40.797,-74.481
Morgan Hill,United States,California,37.1304,-121.6545
Moreno Valley,United States,California,33.9375,-117.2306
Moorhead,United States,Minnesota,46.8739,-96.7539
Montgomery,United States,Alabama,32.367,-86.3006
Montebello,United States,California,34.0159,-118.112
Monroe,United States,North Carolina,34.9854,-80.5495
Monroe,United States,Louisiana,32.5093,-92.1193
Modesto,United States,California,37.6391,-120.9969
Mobile,United States,Alabama,30.6488,-88.1946
Missouri City,United States,Texas,29.6186,-95.5377
Missoula,United States,Montana,46.8701,-113.9953
Mission Viejo,United States,California,33.5966,-117.6594
Mishawaka,United States,Indiana,41.662,-86.1586
Miramar,United States,Florida,25.9873,-80.2323
Minneapolis,United States,Minnesota,44.9773,-93.2655
Milwaukee,United States,Wisconsin,43.0115,-87.9735
Milford,United States,Connecticut,41.2223,-73.0565
Midland,United States,Michigan,43.6156,-84.2472
Middletown,United States,Connecticut,41.5623,-72.6506
Miami,United States,Florida,25.7743,-80.1937
Mesquite,United States,Texas,32.7666,-96.5995
Mesa,United States,Arizona,33.4153,-111.8313
Meridian,United States,Idaho,43.6086,-116.3923
Meriden,United States,Connecticut,41.5382,-72.807
Mentor,United States,Ohio,41.6662,-81.3396
Memphis,United States,Tennessee,35.149,-90.0516
Melbourne,United States,Florida,28.0836,-80.6081
Medina,United States,Ohio,41.1384,-81.8637
Medford,United States,Oregon,42.3264,-122.8719
Mcallen,United States,Texas,26.2044,-98.2301
Mason,United States,Ohio,39.3601,-84.3099
Marysville,United States,Washington,48.0627,-122.1633
Marlborough,United States,Massachusetts,42.3459,-71.5523
Marion,United States,Ohio,40.5887,-83.1285
Marion,United States,Iowa,42.0342,-91.5977
Marietta,United States,Georgia,33.9528,-84.5496
Margate,United States,Florida,26.2445,-80.2064
Maple Grove,United States,Minnesota,45.076,-93.4561
Manteca,United States,California,37.7986,-121.2117
Mansfield,United States,Texas,32.5632,-97.1417
Manhattan,United States,Kansas,39.1836,-96.5717
Manchester,United States,Connecticut,41.7759,-72.5215
Malden,United States,Massachusetts,42.4251,-71.0662
Madison,United States,Wisconsin,43.0748,-89.3838
Macon,United States,Georgia,32.8407,-83.6324
Lubbock,United States,Texas,33.5779,-101.8552
Lowell,United States,Massachusetts,42.6334,-71.3162
Loveland,United States,Colorado,40.3978,-105.075
Louisville,United States,Kentucky,38.2542,-85.7594
Louisville,United States,Colorado,39.9778,-105.1319
Los Angeles,United States,California,34.0544,-118.2439
Lorain,United States,Ohio,41.4528,-82.1824
Longview,United States,Washington,46.1427,-122.9556
Longmont,United States,Colorado,40.1672,-105.1019
Long Beach,United States,New York,40.5885,-73.6579
Long Beach,United States,California,33.7775,-118.1885
Logan,United States,Utah,41.7313,-111.8349
Lodi,United States,California,38.1302,-121.2724
Littleton,United States,Colorado,39.6133,-105.0166
Little Rock,United States,Arkansas,34.7465,-92.2896
Lindenhurst,United States,New York,40.6868,-73.3735
Linden,United States,New Jersey,40.622,-74.2446
Lincoln Park,United States,Michigan,42.2506,-83.1785
Lewiston,United States,Maine,44.1004,-70.2148
Lewiston,United States,Idaho,46.4166,-117.0177
Leominster,United States,Massachusetts,42.5251,-71.7598
Lehi,United States,Utah,40.3881,-111.8492
Lebanon,United States,Tennessee,36.2081,-86.2905
League City,United States,Texas,29.5075,-95.0949
Layton,United States,Utah,41.0603,-111.9661
Lawton,United States,Oklahoma,34.6087,-98.3903
Lawrence,United States,Massachusetts,42.707,-71.1631
Lawrence,United States,Indiana,39.8387,-86.0253
Laurel,United States,Maryland,39.0993,-76.8483
Las Vegas,United States,Nevada,36.1663,-115.1492
Las Cruces,United States,New Mexico,32.314,-106.7798
Laredo,United States,Texas,27.5061,-99.5089
Lansing,United States,Michigan,42.7338,-84.5554
Lancaster,United States,Pennsylvania,40.0381,-76.3057
Lancaster,United States,Ohio,39.7137,-82.5993
Lancaster,United States,California,34.6981,-118.1366
Lakewood,United States,Ohio,41.482,-81.7982
Lakewood,United States,New Jersey,40.0979,-74.2176
Lakewood,United States,California,33.8503,-118.1172
Lakeville,United States,Minnesota,44.6501,-93.2433
Lakeland,United States,Florida,28.0395,-81.9498
Lake Forest,United States,California,33.647,-117.6892
Lake Elsinore,United States,California,33.6681,-117.3273
Lake Charles,United States,Louisiana,30.2266,-93.2174
Laguna Niguel,United States,California,33.5225,-117.7076
Lafayette,United States,Louisiana,30.2241,-92.0198
Lafayette,United States,Indiana,40.4167,-86.8753
La Quinta,United States,California,33.6775,-116.2959
La Porte,United States,Texas,29.6658,-95.0194
La Porte,United States,Indiana,41.61,-86.72
La Mesa,United States,California,32.7678,-117.0231
La Crosse,United States,Wisconsin,43.8014,-91.2396
Knoxville,United States,Tennessee,35.9604,-83.921
Kissimmee,United States,Florida,28.292,-81.4078
Kirkwood,United States,Missouri,38.5834,-90.4068
Kent,United States,Washington,47.3827,-122.227
Kent,United States,Ohio,41.1537,-81.3579
Kenosha,United States,Wisconsin,42.5847,-87.8212
Kenner,United States,Louisiana,29.9942,-90.2418
Keller,United States,Texas,32.93,-97.2271
Jupiter,United States,Florida,26.9342,-80.0942
Jonesboro,United States,Arkansas,35.8429,-90.7035
Johnson City,United States,Tennessee,36.3134,-82.3535
Jefferson City,United States,Missouri,38.5774,-92.1724
Jamestown,United States,New York,42.097,-79.2353
Jacksonville,United States,North Carolina,34.7541,-77.4302
Jacksonville,United States,Florida,30.3322,-81.6557
Jackson,United States,Tennessee,35.6145,-88.8139
Jackson,United States,Mississippi,32.299,-90.1848
Jackson,United States,Michigan,42.2465,-84.4017
Irving,United States,Texas,32.814,-96.9489
Iowa City,United States,Iowa,41.6613,-91.5299
Inglewood,United States,California,33.9617,-118.3531
Indianapolis,United States,Indiana,39.7683,-86.1584
Independence,United States,Missouri,39.0911,-94.4155
Huntsville,United States,Texas,30.7235,-95.5508
Huntsville,United States,Alabama,34.7298,-86.5859
Huntington Beach,United States,California,33.6781,-118
Houston,United States,Texas,29.7589,-95.3677
Hot Springs,United States,Arkansas,34.5038,-93.0552
Hoover,United States,Alabama,33.3849,-86.807
Homestead,United States,Florida,25.4687,-80.4776
Holyoke,United States,Massachusetts,42.2043,-72.6162
Hollywood,United States,Florida,26.0112,-80.1495
Holland,United States,Michigan,42.7876,-86.1091
Hillsboro,United States,Oregon,45.5229,-122.9898
Highland Park,United States,Illinois,42.1817,-87.8003
Hickory,United States,North Carolina,35.7332,-81.3412
Hialeah,United States,Florida,25.8576,-80.2781
Hesperia,United States,California,34.4264,-117.3009
Hendersonville,United States,Tennessee,36.3048,-86.62
Henderson,United States,Nevada,36.0391,-114.9819
Henderson,United States,Kentucky,37.7672,-87.5574
Hempstead,United States,New York,40.7063,-73.6187
Helena,United States,Montana,46.5927,-112.0361
Hattiesburg,United States,Mississippi,31.3271,-89.2903
Harrisonburg,United States,Virginia,38.4493,-78.8689
Harlingen,United States,Texas,26.1906,-97.6961
Hampton,United States,Virginia,37.0301,-76.3452
Hamilton,United States,Ohio,39.3995,-84.5613
Haltom City,United States,Texas,32.7996,-97.2692
Hagerstown,United States,Maryland,39.6419,-77.7203
Hackensack,United States,New Jersey,40.8859,-74.0435
Gulfport,United States,Mississippi,30.3674,-89.0928
Grove City,United States,Ohio,39.8815,-83.093
Gresham,United States,Oregon,45.5067,-122.4367
Greenwood,United States,Indiana,39.6137,-86.1067
Greenville,United States,North Carolina,35.6127,-77.3664
Greensboro,United States,North Carolina,36.0726,-79.792
Green Bay,United States,Wisconsin,44.5299,-88.0248
Greeley,United States,Colorado,40.4233,-104.7091
Great Falls,United States,Montana,47.5049,-111.2919
Grapevine,United States,Texas,32.9343,-97.0781
Grand Rapids,United States,Michigan,42.9632,-85.6679
Grand Prairie,United States,Texas,32.746,-96.9978
Grand Island,United States,Nebraska,40.9243,-98.3387
Goldsboro,United States,North Carolina,35.3849,-77.9928
Glenview,United States,Illinois,42.0701,-87.8114
Glendale,United States,Arizona,33.539,-112.1858
Gladstone,United States,Missouri,39.2039,-94.5547
Gilbert,United States,Arizona,33.3528,-111.789
Georgetown,United States,Kentucky,38.2098,-84.5588
Gastonia,United States,North Carolina,35.2621,-81.1873
Garland,United States,Texas,32.9126,-96.6389
Garden City,United States,Kansas,37.9717,-100.8727
Gaithersburg,United States,Maryland,39.1434,-77.2014
Frisco,United States,Texas,33.1507,-96.8236
Fresno,United States,California,36.6714,-119.8155
Fremont,United States,Nebraska,41.4338,-96.4985
Freeport,United States,New York,40.6576,-73.5832
Freeport,United States,Illinois,42.2967,-89.6212
Franklin,United States,Wisconsin,42.8886,-88.0384
Franklin,United States,Tennessee,35.9252,-86.8689
Franklin,United States,Massachusetts,42.0834,-71.3967
Frankfort,United States,Illinois,41.4959,-87.8487
Fort Worth,United States,Texas,32.7532,-97.3327
Fort Lauderdale,United States,Florida,26.1223,-80.1434
Fort Collins,United States,Colorado,40.5509,-105.0668
Florence,United States,South Carolina,34.1984,-79.7672
Florence,United States,Kentucky,38.9989,-84.6266
Florence,United States,Alabama,34.7998,-87.6773
Fayetteville,United States,North Carolina,35.053,-78.8787
Fayetteville,United States,Arkansas,36.0626,-94.1574
Farmington,United States,New Mexico,36.7304,-108.2089
Fargo,United States,North Dakota,46.8772,-96.7898
Fairfield,United States,Ohio,39.3459,-84.5605
Fairfield,United States,Connecticut,41.1412,-73.2637
Fairfield,United States,California,38.2494,-122.04
Everett,United States,Washington,47.9673,-122.2014
Everett,United States,Massachusetts,42.4084,-71.0537
Evanston,United States,Illinois,42.0447,-87.693
Eugene,United States,Oregon,44.0505,-123.0951
Escondido,United States,California,33.1217,-117.0815
Englewood,United States,Colorado,39.6482,-104.988
Encinitas,United States,California,33.037,-117.292
Elyria,United States,Ohio,41.3684,-82.1076
Elmhurst,United States,Illinois,41.8995,-87.9403
Elkhart,United States,Indiana,41.682,-85.9767
El Paso,United States,Texas,31.8064,-106.2221
El Cajon,United States,California,32.7948,-116.9625
Edmonds,United States,Washington,47.8106,-122.3775
Edmond,United States,Oklahoma,35.6571,-97.4649
Edinburg,United States,Texas,26.3014,-98.1625
Eau Claire,United States,Wisconsin,44.8113,-91.4985
East Point,United States,Georgia,33.6796,-84.4394
East Orange,United States,New Jersey,40.7673,-74.2049
Eagan,United States,Minnesota,44.8182,-93.1659
Durham,United States,North Carolina,35.994,-78.8986
Dubuque,United States,Iowa,42.5006,-90.6648
Dublin,United States,Ohio,40.0992,-83.1141
Dublin,United States,California,37.7022,-121.9358
Draper,United States,Utah,40.5247,-111.8638
Dover,United States,New Hampshire,43.1981,-70.8739
Dover,United States,Delaware,39.1582,-75.5244
Detroit,United States,Michigan,42.3487,-83.0567
Des Plaines,United States,Illinois,42.0416,-87.8874
Des Moines,United States,Washington,47.3988,-122.3099
Des Moines,United States,Iowa,41.5911,-93.6037
Denver,United States,Colorado,39.7348,-104.9653
Deltona,United States,Florida,28.9005,-81.2637
Delray Beach,United States,Florida,26.4615,-80.0728
Deer Park,United States,Texas,29.7052,-95.1238
Decatur,United States,Illinois,39.8454,-88.9524
Decatur,United States,Alabama,34.6059,-86.9833
Dearborn Heights,United States,Michigan,42.337,-83.2733
Dearborn,United States,Michigan,42.3223,-83.1763
Daytona Beach,United States,Florida,29.2108,-81.0228
Davis,United States,California,38.5454,-121.7446
Danville,United States,Illinois,40.1252,-87.6305
Danville,United States,California,37.8216,-122
Danbury,United States,Connecticut,41.3948,-73.454
Dallas,United States,Texas,32.7763,-96.7969
Cuyahoga Falls,United States,Ohio,41.1348,-81.4848
Cranston,United States,Rhode Island,41.781,-71.4371
Covington,United States,Washington,47.3658,-122.1002
Cottage Grove,United States,Minnesota,44.8277,-92.9438
Costa Mesa,United States,California,33.6633,-117.9033
Corpus Christi,United States,Texas,27.8003,-97.3956
Coral Springs,United States,Florida,26.2712,-80.2706
Coral Gables,United States,Florida,25.7215,-80.2684
Coppell,United States,Texas,32.9553,-97.0156
Coon Rapids,United States,Minnesota,45.12,-93.2877
Conway,United States,Arkansas,35.0887,-92.4421
Conroe,United States,Texas,30.3119,-95.4561
Concord,United States,North Carolina,35.4094,-80.5797
Concord,United States,New Hampshire,43.2071,-71.537
Concord,United States,California,37.978,-122.0311
Commerce City,United States,Colorado,39.8083,-104.9339
Columbus,United States,Ohio,39.9623,-83.0007
Columbus,United States,Indiana,39.2014,-85.9214
Columbus,United States,Georgia,32.461,-84.9877
Columbia,United States,Tennessee,35.6151,-87.0353
Columbia,United States,South Carolina,34.0007,-81.0343
Columbia,United States,Missouri,38.9519,-92.3337
Columbia,United States,Maryland,39.2156,-76.8582
Colorado Springs,United States,Colorado,38.834,-104.8253
College Station,United States,Texas,30.6263,-96.3347
Coachella,United States,California,33.6796,-116.1763
Clovis,United States,New Mexico,34.4055,-103.2051
Clinton,United States,Maryland,38.7651,-76.8983
Clifton,United States,New Jersey,40.8584,-74.1638
Cleveland,United States,Ohio,41.5052,-81.6934
Clarksville,United States,Tennessee,36.5286,-87.3099
Citrus Heights,United States,California,38.7071,-121.2811
Cincinnati,United States,Ohio,39.1015,-84.5125
Chula Vista,United States,California,32.6401,-117.0842
Chico,United States,California,39.7285,-121.8375
Chicago,United States,Illinois,41.8756,-87.6244
Cheyenne,United States,Wyoming,41.14,-104.8202
Chester,United States,Pennsylvania,39.8496,-75.3557
Chesapeake,United States,Virginia,36.7184,-76.2467
Chattanooga,United States,Tennessee,35.0456,-85.3097
Charlottesville,United States,Virginia,38.0293,-78.4767
Charlotte,United States,North Carolina,35.2271,-80.8431
Chapel Hill,United States,North Carolina,35.9132,-79.0558
Chandler,United States,Arizona,33.3067,-111.8408
Champaign,United States,Illinois,40.1164,-88.2434
Cedar Rapids,United States,Iowa,41.9759,-91.6704
Cedar Hill,United States,Texas,32.5889,-96.9559
Cary,United States,North Carolina,35.7883,-78.7812
Carrollton,United States,Texas,33.001,-96.8922
Carol Stream,United States,Illinois,41.9125,-88.1348
Carlsbad,United States,New Mexico,32.4207,-104.2288
Canton,United States,Michigan,42.3074,-83.4869
Cambridge,United States,Massachusetts,42.3751,-71.1056
Camarillo,United States,California,34.2164,-119.0376
Caldwell,United States,Idaho,43.6679,-116.6894
Burlington,United States,Vermont,44.4724,-73.2115
Burlington,United States,North Carolina,36.0957,-79.4378
Burlington,United States,Iowa,40.8075,-91.1129
Burbank,United States,California,34.1816,-118.3259
Bullhead City,United States,Arizona,35.1478,-114.5683
Buffalo Grove,United States,Illinois,42.14,-87.98
Buffalo,United States,New York,42.9333,-78.877
Bryan,United States,Texas,30.6744,-96.37
Brownsville,United States,Texas,25.914,-97.4891
Broomfield,United States,Colorado,39.938,-105.0587
Broken Arrow,United States,Oklahoma,36.0526,-95.7908
Bristol,United States,Tennessee,36.5951,-82.1887
Bristol,United States,Connecticut,41.6736,-72.9464
Bridgeton,United States,New Jersey,39.4273,-75.2341
Brentwood,United States,California,37.9318,-121.696
Bozeman,United States,Montana,45.68,-111.0447
Boynton Beach,United States,Florida,26.5253,-80.0664
Bowling Green,United States,Ohio,41.3748,-83.6513
Bowling Green,United States,Kentucky,36.9903,-86.4436
Bossier City,United States,Louisiana,32.516,-93.7321
Bolingbrook,United States,Illinois,41.7003,-88.0718
Boise,United States,Idaho,43.615,-116.2044
Boca Raton,United States,Florida,26.3587,-80.0831
Bloomington,United States,Indiana,39.167,-86.5343
Bloomington,United States,Illinois,40.4731,-88.9941
Billings,United States,Montana,45.7875,-108.4961
Beverly,United States,Massachusetts,42.5584,-70.88
Bethlehem,United States,Pennsylvania,40.6179,-75.3787
Bellingham,United States,Washington,48.7544,-122.4789
Bellevue,United States,Washington,47.6144,-122.1923
Belleville,United States,New Jersey,40.7937,-74.1501
Bedford,United States,Texas,32.844,-97.1431
Beaumont,United States,Texas,30.086,-94.1018
Baytown,United States,Texas,29.7355,-94.9774
Bayonne,United States,New Jersey,40.6687,-74.1143
Bartlett,United States,Tennessee,35.2045,-89.874
Bangor,United States,Maine,44.8012,-68.7778
Baltimore,United States,Maryland,39.2909,-76.6108
Bakersfield,United States,California,35.3739,-119.0195
Avondale,United States,Arizona,33.4359,-112.3405
Austin,United States,Texas,30.2711,-97.7437
Aurora,United States,Illinois,41.7606,-88.3201
Aurora,United States,Colorado,39.7294,-104.8319
